日時,元ファイル,新ファイル,ステータス,メッセージ
2026/5/26 15:01,見積／注文書(15082327)_〇〇株式会社_〇〇様.pdf,,SKIP,oldフォルダ
2026/5/26 15:01,見積／注文書(15082328)_〇〇株式会社_〇〇様.pdf,,SKIP,oldフォルダ
2026/5/26 15:01,20260217_Adobe_見積書・注文書_15068646.pdf,,SKIP,oldフォルダ
2026/5/26 15:01,20260306_Active Gate・Vault_見積書_15079406.pdf,,SKIP,oldフォルダ
2026/5/26 15:01,【20250310】注文書（まとめて3部）.pdf,,SKIP,oldフォルダ
2026/5/26 15:01,見積／注文書(15079406)_〇〇株式会社_〇〇様.pdf,,SKIP,oldフォルダ
2026/5/26 15:01,JH6473_注文書_20260323.pdf,,SKIP,注文書のため対象外（B社）
2026/5/26 15:01,JH6473_見積書_20260317.pdf,,SKIP,命名規則一致（B社）
2026/5/26 15:01,JI8411_注文書_20260324.pdf,,SKIP,注文書のため対象外（B社）
2026/5/26 15:01,JI8411_見積書_20260323.pdf,,SKIP,命名規則一致（B社）
2026/5/26 15:01,JS5863_注文書_20260410.pdf,,SKIP,注文書のため対象外（B社）
2026/5/26 15:01,JS5863_見積書_20260408.pdf,,SKIP,命名規則一致（B社）
2026/5/26 15:01,JW5150_注文書_20260422.pdf,,SKIP,注文書のため対象外（B社）
2026/5/26 15:01,JW5150_見積書_20260416.pdf,,SKIP,命名規則一致（B社）
2026/5/26 15:01,KB0445　〇〇株式会社　〇〇様.pdf,KB0445_見積書_20260526.pdf,RENAMED,B社処理
2026/5/26 15:01,KF3653_注文書_20260518.pdf,,SKIP,注文書のため対象外（B社）
2026/5/26 15:01,KF3653_見積書_20260507.pdf,,SKIP,命名規則一致（B社）
2026/5/26 15:01,KG3792_注文書_20260520.pdf,,SKIP,注文書のため対象外（B社）
2026/5/26 15:01,JL9549　〇〇株式会社　〇〇様.pdf,,SKIP,oldフォルダ
2026/5/26 15:01,JO0469　〇〇株式会社　〇〇様.pdf,,SKIP,oldフォルダ
2026/5/26 15:01,KB0445　〇〇株式会社　〇〇様.pdf,,SKIP,oldフォルダ
